Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
West Bank and Gaza,PSE,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,18.6044098189708,13.2316762896254,14.9360021043085,15.5868904039499,18.1904687028222,30.7611218024172,32.6448689834971,20.8389513874788,16.9853858225681,17.0484149049649,14.9738598290524,12.529897971574,17.0220070685855,16.8610113388391,21.1616733833738,24.3484872128569,20.8624306338855,17.4780751991333,19.0495389394007,7.98715051866387,8.61046676235982,9.77528818584094,22.8044826197605
"Yemen, Rep.",YEM,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,20.5747466827467,54.6976207272494,18.6424259198395,11.213224779301,12.929786547416,8.01909242966126,11.7170913190124,23.2082987861466,24.4762805562761,14.7812660897606,28.9160522265602,39.0726789735238,..,..,..,..,..,..
"Yemen, Rep.",YEM,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,26.6662005456558,42.5936416955479,29.9705705340923,34.4745188149261,34.2560648440337,31.5965921411534,31.1488699696502,24.6957486924364,24.7974632789746,29.7100511858295,20.6665442386656,29.9004718488384,..,..,..,..,..,..
Zambia,ZMB,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,0.0525164113785479,2.86312849162012,3.75874125874127,3.17796610169492,6.40945861854387,3.10258472792071,4.30387427051141,3.96480690751088,4.3732214047113,4.18021500385751,4.74758745791134,7.55824552626449,7.84440206326809,8.79259992927639,8.07944989722019,8.54989947765506,8.51732797018487,9.04858326871509,7.51647102090296,5.90295444678731,8.4157105594287,10.050173451044,3.14980307586606
Zambia,ZMB,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,17.559829067784,16.1132013277958,16.6666666666667,19.6493037648272,23.2407850646242,17.6971388141892,25.105601703795,42.4165867091906,27.0730340526376,27.4112325962569,28.0886556189288,16.7837461939428,12.09394885856,27.5009437907856,20.2606696509574,12.1437078249947,13.2724914980452,13.4313360785492,14.5680459824309,14.7954703460639,8.56315603269474,22.1353786879632,12.7836677506961
Zimbabwe,ZWE,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,26.3548582263655,23.170132546812,20.1807789907703,21.3142886525571,21.4943105408196,21.9489373733905,22.4472203277284,22.9531409760856,13.1003600122282,12.3317648087391,16.2462449733026,24.3483425076458,..,..
Zimbabwe,ZWE,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,..,..,..,..,..,..,..,..,..,34.707599416163,36.1647226090237,29.262042344692,29.7387853300961,30.7201304298802,29.7849953354669,36.5854279771462,43.0414655851771,32.1137343581941,26.1032371661775,25.4374097959621,35.9083554717101,..,..
Africa Eastern and Southern,AFE,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,26.9558710263949,28.2966651946735,25.2620855651352,22.8720753158709,24.5233238349437,19.3656541474647,30.5829731744378,17.9060136150929,16.248930348229,16.5979747541783,17.2469126376603,17.6263172904461,16.9944759203275,16.7158913312594,17.1506085383831,17.6097192888578,19.0515450459548,19.6959795113686,19.549355192524,19.1701416815878,40.4039218573819,44.3789343443873,37.619023218228
Africa Eastern and Southern,AFE,"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT,23.5613658402944,25.8981358526412,26.0980919417345,24.1283033388033,25.956313473664,26.6465427312516,27.5319261240721,28.6745123531765,27.9853902227896,32.7089092487793,33.3768442833424,34.5246426235911,32.9919913997399,34.270067808564,35.5055430805804,36.0094144881434,39.6545715985374,36.7879315182291,36.3660594103088,35.6933837524138,43.5213528109212,42.3988729725263,36.0250782087532
Africa Western and Central,AFW,"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT,61.5211706659084,59.6490897049124,61.1993884276531,61.7335247180168,58.6203772120837,19.1834668425145,17.8254894644276,19.92899725644,21.452744791404,20.8858957301376,24.0573282327009,28.2820889720851,28.2019490680814,32.5537840839634,28.7945868821789,33.1660605991941,22.1966482495045,23.8700682413507,24.0389473131133,26.6107874551016,29.2482895713381,21.2718585222839,..
